Source,Target,Type,Label,Src_Label,Tgt_Label,Scr_Role,Tgt_Role,Src_Title,Charter,Year
Robert Partes,"Joseph, Abbot of Reading",Directed,witnesses,Roberto,Joseph,Witness,Grantor,Monk of Reading and Poet,834,1173-1186
Geoffrey of Bix,"Joseph, Abbot of Reading",Directed,witnesses,Gaufred,Joseph,Witness,Grantor,,834,1173-1186
"Ralph, the steward","Joseph, Abbot of Reading",Directed,witnesses,Radulfo,Joseph,Witness,Grantor,Steward (dapifer),834,1173-1186
"Raymond, son of Ralph the steward","Joseph, Abbot of Reading",Directed,witnesses,Remundo,Joseph,Witness,Grantor,,834,1173-1186
Reginald of Sulham,"Joseph, Abbot of Reading",Directed,witnesses,Reinaldo,Joseph,Witness,Grantor,,834,1173-1186
Richard of Oakley,"Joseph, Abbot of Reading",Directed,witnesses,Ricardo,Joseph,Witness,Grantor,,834,1173-1186
Hubert of Clere,"Joseph, Abbot of Reading",Directed,witnesses,Huberto,Joseph,Witness,Grantor,,834,1173-1186
"Geoffrey, the steward","Joseph, Abbot of Reading",Directed,witnesses,Gaufrido,Joseph,Witness,Grantor,Cup-bearer (pincerna),834,1173-1186
"Edward, prior of Reading",Ralph Purcell,Directed,witnesses,Edward,Ralph Purcel,Witness,Recipient,Prior,834,1173-1186
"Geoffrey, precentor of Reading",Ralph Purcell,Directed,witnesses,Gaufredo,Ralph Purcel,Witness,Recipient,,834,1173-1186
Robert Partes,Ralph Purcell,Directed,witnesses,Roberto,Ralph Purcel,Witness,Recipient,Monk,834,1173-1186
Geoffrey of Bix,Ralph Purcell,Directed,witnesses,Gaufred,Ralph Purcel,Witness,Recipient,,834,1173-1186
"Ralph, the steward",Ralph Purcell,Directed,witnesses,Radulfo,Ralph Purcel,Witness,Recipient,Steward (dapifer),834,1173-1186
"Raymond, son of Ralph the steward",Ralph Purcell,Directed,witnesses,Remundo,Ralph Purcel,Witness,Recipient,,834,1173-1186
Reginald of Sulham,Ralph Purcell,Directed,witnesses,Reinaldo,Ralph Purcel,Witness,Recipient,,834,1173-1186
Richard of Oakley,Ralph Purcell,Directed,witnesses,Ricardo,Ralph Purcel,Witness,Recipient,,834,1173-1186
Hubert of Clere,Ralph Purcell,Directed,witnesses,Huberto,Ralph Purcel,Witness,Recipient,,834,1173-1186
"Geoffrey, the steward",Ralph Purcell,Directed,witnesses,Gaufrido,Ralph Purcel,Witness,Recipient,Cup-bearer (pincerna),834,1173-1186
"Joseph, Abbot of Reading",Ralph Purcell,Directed,leases to,Joseph,Ralph Purcel,Grantor,Recipient,Abbot,835,1173-1186
"Edward, prior of Reading","Joseph, Abbot of Reading",Directed,witnesses,Edward,Joseph,Witness,Grantor,Prior,835,1173-1186
"Geoffrey, precentor of Reading","Joseph, Abbot of Reading",Directed,witnesses,Gaufredo,Joseph,Witness,Grantor,,835,1173-1186
Robert Partes,"Joseph, Abbot of Reading",Directed,witnesses,Roberto,Joseph,Witness,Grantor,Monk,835,1173-1186
Geoffrey of Bix,"Joseph, Abbot of Reading",Directed,witnesses,Gaufred,Joseph,Witness,Grantor,,835,1173-1186
"Ralph, the steward","Joseph, Abbot of Reading",Directed,witnesses,Radulfo,Joseph,Witness,Grantor,Steward (dapifer),835,1173-1186
"Raymond, son of Ralph the steward","Joseph, Abbot of Reading",Directed,witnesses,Remundo,Joseph,Witness,Grantor,,835,1173-1186
Reginald of Sulham,"Joseph, Abbot of Reading",Directed,witnesses,Reinaldo,Joseph,Witness,Grantor,,835,1173-1186
Richard of Oakley,"Joseph, Abbot of Reading",Directed,witnesses,Ricardo,Joseph,Witness,Grantor,,835,1173-1186
Hubert of Clere,"Joseph, Abbot of Reading",Directed,witnesses,Huberto,Joseph,Witness,Grantor,,835,1173-1186
"Geoffrey, the steward","Joseph, Abbot of Reading",Directed,witnesses,Gaufrido,Joseph,Witness,Grantor,Cup-bearer (pincerna),835,1173-1186
"Edward, prior of Reading",Ralph Purcell,Directed,witnesses,Edward,Ralph Purcel,Witness,Recipient,Prior,835,1173-1186
"Geoffrey, precentor of Reading",Ralph Purcell,Directed,witnesses,Gaufredo,Ralph Purcel,Witness,Recipient,,835,1173-1186
Robert Partes,Ralph Purcell,Directed,witnesses,Roberto,Ralph Purcel,Witness,Recipient,Monk,835,1173-1186
Geoffrey of Bix,Ralph Purcell,Directed,witnesses,Gaufred,Ralph Purcel,Witness,Recipient,,835,1173-1186
"Ralph, the steward",Ralph Purcell,Directed,witnesses,Radulfo,Ralph Purcel,Witness,Recipient,Steward (dapifer),835,1173-1186
"Raymond, son of Ralph the steward",Ralph Purcell,Directed,witnesses,Remundo,Ralph Purcel,Witness,Recipient,,835,1173-1186
Reginald of Sulham,Ralph Purcell,Directed,witnesses,Reinaldo,Ralph Purcel,Witness,Recipient,,835,1173-1186
Richard of Oakley,Ralph Purcell,Directed,witnesses,Ricardo,Ralph Purcel,Witness,Recipient,,835,1173-1186
Hubert of Clere,Ralph Purcell,Directed,witnesses,Huberto,Ralph Purcel,Witness,Recipient,,835,1173-1186
"Geoffrey, the steward",Ralph Purcell,Directed,witnesses,Gaufrido,Ralph Purcel,Witness,Recipient,Cup-bearer (pincerna),835,1173-1186
"Joseph, Abbot of Reading",Adam of Earley,Directed,leases to,Joseph,Adam of Earley,Grantor,Recipient,Abbot,836,1173-1186
John de la Rivera,"Joseph, Abbot of Reading",Directed,witnesses,Johanne,Joseph,Witness,Grantor,,836,1173-1186
"Gerold, son of John de la Rivera","Joseph, Abbot of Reading",Directed,witnesses,Geroldo,Joseph,Witness,Grantor,,836,1173-1186
Azo of Sonning,"Joseph, Abbot of Reading",Directed,witnesses,Azone,Joseph,Witness,Grantor,,836,1173-1186
"Richard, step-son of Azo of Sonning","Joseph, Abbot of Reading",Directed,witnesses,Ricardo,Joseph,Witness,Grantor,stepson (privigno),836,1173-1186
Hugh of Dunesden,"Joseph, Abbot of Reading",Directed,witnesses,Hugone,Joseph,Witness,Grantor,,836,1173-1186
"Richard, son of Hugh of Dunesden","Joseph, Abbot of Reading",Directed,witnesses,Ricardo,Joseph,Witness,Grantor,,836,1173-1186
Robert of Waltham,"Joseph, Abbot of Reading",Directed,witnesses,Robert,Joseph,Witness,Grantor,,836,1173-1186
"William, son of Robert of Waltham","Joseph, Abbot of Reading",Directed,witnesses,Willilm,Joseph,Witness,Grantor,,836,1173-1186
"Raymond, the merchant","Joseph, Abbot of Reading",Directed,witnesses,Remundo,Joseph,Witness,Grantor,merchant (mercatore),836,1173-1186
John de la Rivera,Adam of Earley,Directed,witnesses,Johanne,Adam of Earley,Witness,Recipient,,836,1173-1186
"Gerold, son of John de la Rivera",Adam of Earley,Directed,witnesses,Geroldo,Adam of Earley,Witness,Recipient,,836,1173-1186
Azo of Sonning,Adam of Earley,Directed,witnesses,Azone,Adam of Earley,Witness,Recipient,,836,1173-1186
"Richard, step-son of Azo of Sonning",Adam of Earley,Directed,witnesses,Ricardo,Adam of Earley,Witness,Recipient,stepson (privigno),836,1173-1186
Hugh of Dunesden,Adam of Earley,Directed,witnesses,Hugone,Adam of Earley,Witness,Recipient,,836,1173-1186
"Richard, son of Hugh of Dunesden",Adam of Earley,Directed,witnesses,Ricardo,Adam of Earley,Witness,Recipient,,836,1173-1186
Robert of Waltham,Adam of Earley,Directed,witnesses,Robert,Adam of Earley,Witness,Recipient,,836,1173-1186
"William, son of Robert of Waltham",Adam of Earley,Directed,witnesses,Willilm,Adam of Earley,Witness,Recipient,,836,1173-1186
"Raymond, the merchant",Adam of Earley,Directed,witnesses,Remundo,Adam of Earley,Witness,Recipient,merchant (mercatore),836,1173-1186
"Joseph, Abbot of Reading",Adam of Earley,Directed,leases to,Joseph,Adam of Earley,Grantor,Recipient,,837,1173-1186
John de la Rivera,"Joseph, Abbot of Reading",Directed,witnesses,Johanne,Joseph,Witness,Grantor,,837,1173-1186
"Gerold, son of John de la Rivera","Joseph, Abbot of Reading",Directed,witnesses,Geroldo,Joseph,Witness,Grantor,,837,1173-1186
Azo of Sonning,"Joseph, Abbot of Reading",Directed,witnesses,Azone,Joseph,Witness,Grantor,,837,1173-1186
"Richard, step-son of Azo of Sonning","Joseph, Abbot of Reading",Directed,witnesses,Ricardo,Joseph,Witness,Grantor,stepson (privigno),837,1173-1186
Hugh of Dunesden,"Joseph, Abbot of Reading",Directed,witnesses,Hugone,Joseph,Witness,Grantor,,837,1173-1186
"Richard, son of Hugh of Dunesden","Joseph, Abbot of Reading",Directed,witnesses,Ricardo,Joseph,Witness,Grantor,,837,1173-1186
Robert of Waltham,"Joseph, Abbot of Reading",Directed,witnesses,Robert,Joseph,Witness,Grantor,,837,1173-1186
"William, son of Robert of Waltham","Joseph, Abbot of Reading",Directed,witnesses,Willilm,Joseph,Witness,Grantor,,837,1173-1186
"Raymond, the merchant","Joseph, Abbot of Reading",Directed,witnesses,Remundo,Joseph,Witness,Grantor,merchant (mercatore),837,1173-1186
John de la Rivera,Adam of Earley,Directed,witnesses,Johanne,Adam of Earley,Witness,Recipient,,837,1173-1186
"Gerold, son of John de la Rivera",Adam of Earley,Directed,witnesses,Geroldo,Adam of Earley,Witness,Recipient,,837,1173-1186
Azo of Sonning,Adam of Earley,Directed,witnesses,Azone,Adam of Earley,Witness,Recipient,,837,1173-1186
"Richard, step-son of Azo of Sonning",Adam of Earley,Directed,witnesses,Ricardo,Adam of Earley,Witness,Recipient,stepson (privigno),837,1173-1186
Hugh of Dunesden,Adam of Earley,Directed,witnesses,Hugone,Adam of Earley,Witness,Recipient,,837,1173-1186
"Richard, son of Hugh of Dunesden",Adam of Earley,Directed,witnesses,Ricardo,Adam of Earley,Witness,Recipient,,837,1173-1186
Robert of Waltham,Adam of Earley,Directed,witnesses,Robert,Adam of Earley,Witness,Recipient,,837,1173-1186
"William, son of Robert of Waltham",Adam of Earley,Directed,witnesses,Willilm,Adam of Earley,Witness,Recipient,,837,1173-1186
"Raymond, the merchant",Adam of Earley,Directed,witnesses,Remundo,Adam of Earley,Witness,Recipient,merchant (mercatore),837,1186
"Hugh IV, Abbot of Cluny","Hugh II, Abbot of Reading",Directed,confirms to,Hugh IV,Hugh II,Grantor,Recipient,Abbot of Cluny,220,1186-1199
"Hugh II, Abbot of Reading",Sir Peter Blund,Directed,restores to,Hugh II,Peter Blund,Grantor,Recipient,Abbot,838,1186-1199
"William, earl of Salisbury","Hugh II, Abbot of Reading",Directed,witnesses,Willelm,Abbot Hugh II of Reading,Witness,Grantor,,838,1186-1199
Adam of Port,"Hugh II, Abbot of Reading",Directed,witnesses,Adam,Abbot Hugh II of Reading,Witness,Grantor,,838,1186-1199
Roger of Saint Johns,"Hugh II, Abbot of Reading",Directed,witnesses,Roger,Abbot Hugh II of Reading,Witness,Grantor,,838,1186-1199
Walter of Oxford,"Hugh II, Abbot of Reading",Directed,witnesses,Walter,Abbot Hugh II of Reading,Witness,Grantor,,838,1186-1199
"Raymond, the merchant","Hugh II, Abbot of Reading",Directed,witnesses,Remundo,Abbot Hugh II of Reading,Witness,Grantor,merchant (mercatore),838,1186-1199
Reginald Lamb,"Hugh II, Abbot of Reading",Directed,witnesses,Reginald,Abbot Hugh II of Reading,Witness,Grantor,,838,1186-1199
"Alexander, the butler","Hugh II, Abbot of Reading",Directed,witnesses,Alexandro,Abbot Hugh II of Reading,Witness,Grantor,Cup-bearer (pincerna),838,1186-1199
"William, earl of Salisbury",Sir Peter Blund,Directed,witnesses,Willelm,Sir Peter Blund,Witness,Recipient,,838,1186-1199
Adam of Port,Sir Peter Blund,Directed,witnesses,Adam,Sir Peter Blund,Witness,Recipient,,838,1186-1199
Roger of Saint Johns,Sir Peter Blund,Directed,witnesses,Roger,Sir Peter Blund,Witness,Recipient,,838,1186-1199
Walter of Oxford,Sir Peter Blund,Directed,witnesses,Walter,Sir Peter Blund,Witness,Recipient,,838,1186-1199
"Raymond, the merchant",Sir Peter Blund,Directed,witnesses,Remundo,Sir Peter Blund,Witness,Recipient,merchant (mercatore),838,1186-1199
Reginald Lamb,Sir Peter Blund,Directed,witnesses,Reginald,Sir Peter Blund,Witness,Recipient,,838,1186-1199
"Alexander, the butler",Sir Peter Blund,Directed,witnesses,Alexandro,Sir Peter Blund,Witness,Recipient,Cup-bearer (pincerna),838,1186-1213
"""H"", Abbot of Reading",Benedict of York,Directed,gives to,"Abbot ""H""",Benedict of York,Grantor,Recipient,Abbot,839,1186-1213
"Adam, prior of Reading","""H"", Abbot of Reading",Directed,witnesses,Adam,"Abbot ""H""",Witness,Grantor,,839,1186-1213
"Simon, sub-prior of Reading","""H"", Abbot of Reading",Directed,witnesses,Simone,"Abbot ""H""",Witness,Grantor,,839,1186-1213
Master Daniel,"""H"", Abbot of Reading",Directed,witnesses,Master,"Abbot ""H""",Witness,Grantor,,839,1186-1213
Hugh of Mortimer,"""H"", Abbot of Reading",Directed,witnesses,Hugone,"Abbot ""H""",Witness,Grantor,,839,1186-1213
"William, chaplain of Coley","""H"", Abbot of Reading",Directed,witnesses,Willelm,"Abbot ""H""",Witness,Grantor,Chaplain (capellano),839,1186-1213
Daniel Scot,"""H"", Abbot of Reading",Directed,witnesses,Daniele,"Abbot ""H""",Witness,Grantor,,839,1186-1213
"Adam, prior of Reading",Benedict of York,Directed,witnesses,Adam,Benedict of York,Witness,Recipient,,839,1186-1213
"Simon, sub-prior of Reading",Benedict of York,Directed,witnesses,Simone,Benedict of York,Witness,Recipient,,839,1186-1213
Master Daniel,Benedict of York,Directed,witnesses,Master,Benedict of York,Witness,Recipient,,839,1186-1213
Hugh of Mortimer,Benedict of York,Directed,witnesses,Hugone,Benedict of York,Witness,Recipient,,839,1186-1213
"William, chaplain of Coley",Benedict of York,Directed,witnesses,Willelm,Benedict of York,Witness,Recipient,Chaplain (capellano),839,1186-1213
Daniel Scot,Benedict of York,Directed,witnesses,Daniele,Benedict of York,Witness,Recipient,,839,1186-1213
"""H"", Abbot of Reading","""R"", the carpenter",Directed,gives to,"Abbot ""H""","master ""R""",Grantor,Recipient,Abbot,840,1186-1213
Walter of Oxford,"""H"", Abbot of Reading",Directed,witnesses,Walter,"Abbot ""H""",Witness,Grantor,,840,1186-1213
Walter of Bollyngeshull,"""H"", Abbot of Reading",Directed,witnesses,Walter,"Abbot ""H""",Witness,Grantor,,840,1186-1213
"Raymond, the merchant","""H"", Abbot of Reading",Directed,witnesses,Raimundo,"Abbot ""H""",Witness,Grantor,,840,1186-1213
"Alan, brother of Raymond","""H"", Abbot of Reading",Directed,witnesses,Alano,"Abbot ""H""",Witness,Grantor,,840,1186-1213
Ralph Wille,"""H"", Abbot of Reading",Directed,witnesses,Radulfo,"Abbot ""H""",Witness,Grantor,,840,1186-1213
Jordan Wille,"""H"", Abbot of Reading",Directed,witnesses,Jordan,"Abbot ""H""",Witness,Grantor,,840,1186-1213
Hugh Maisent,"""H"", Abbot of Reading",Directed,witnesses,Hugone,"Abbot ""H""",Witness,Grantor,,840,1186-1213
Roger of Coley,"""H"", Abbot of Reading",Directed,witnesses,Roger,"Abbot ""H""",Witness,Grantor,,840,1186-1213
Payn Vachell,"""H"", Abbot of Reading",Directed,witnesses,Pagano,"Abbot ""H""",Witness,Grantor,,840,1186-1213
Robert sellario,"""H"", Abbot of Reading",Directed,witnesses,Robert,"Abbot ""H""",Witness,Grantor,(sellario),840,1186-1213
Walter of Oxford,"""R"", the carpenter",Directed,witnesses,Walter,"master ""R""",Witness,Recipient,,840,1186-1213
Walter of Bollyngeshull,"""R"", the carpenter",Directed,witnesses,Walter,"master ""R""",Witness,Recipient,,840,1186-1213
"Raymond, the merchant","""R"", the carpenter",Directed,witnesses,Raimundo,"master ""R""",Witness,Recipient,,840,1186-1213
"Alan, brother of Raymond","""R"", the carpenter",Directed,witnesses,Alano,"master ""R""",Witness,Recipient,,840,1186-1213
Ralph Wille,"""R"", the carpenter",Directed,witnesses,Radulfo,"master ""R""",Witness,Recipient,,840,1186-1213
Jordan Wille,"""R"", the carpenter",Directed,witnesses,Jordan,"master ""R""",Witness,Recipient,,840,1186-1213
Hugh Maisent,"""R"", the carpenter",Directed,witnesses,Hugone,"master ""R""",Witness,Recipient,,840,1186-1213
Roger of Coley,"""R"", the carpenter",Directed,witnesses,Roger,"master ""R""",Witness,Recipient,,840,1186-1213
Payn Vachell,"""R"", the carpenter",Directed,witnesses,Pagano,"master ""R""",Witness,Recipient,,840,1186-1213
Robert sellario,"""R"", the carpenter",Directed,witnesses,Robert,"master ""R""",Witness,Recipient,(sellario),840,1186-1213
"""H"", Abbot of Reading","Alan, brother of Raymond",Directed,leases to,"Abbot ""H""",Alan,Grantor,Recipient,Abbot,841,1186-1213
"Raymond, the merchant","""H"", Abbot of Reading",Directed,witnesses,Remundo,"Abbot ""H""",Witness,Grantor,merchant (mercatore),841,1186-1213
Richard Wille,"""H"", Abbot of Reading",Directed,witnesses,Ricardo,"Abbot ""H""",Witness,Grantor,,841,1186-1213
Walter Wille,"""H"", Abbot of Reading",Directed,witnesses,Walter,"Abbot ""H""",Witness,Grantor,,841,1186-1213
Ralph Wille,"""H"", Abbot of Reading",Directed,witnesses,Radulfo,"Abbot ""H""",Witness,Grantor,,841,1186-1213
Jordan Wille,"""H"", Abbot of Reading",Directed,witnesses,Jordan,"Abbot ""H""",Witness,Grantor,,841,1186-1213
Raher,"""H"", Abbot of Reading",Directed,witnesses,Raerio,"Abbot ""H""",Witness,Grantor,,841,1186-1213
"William, a child","""H"", Abbot of Reading",Directed,witnesses,Willelm,"Abbot ""H""",Witness,Grantor,,841,1186-1213
William of Almonry,"""H"", Abbot of Reading",Directed,witnesses,Willelm,"Abbot ""H""",Witness,Grantor,,841,1186-1213
"Raymond, the merchant","Alan, brother of Raymond",Directed,witnesses,Remundo,Alan,Witness,Recipient,merchant (mercatore),841,1186-1213
Richard Wille,"Alan, brother of Raymond",Directed,witnesses,Ricardo,Alan,Witness,Recipient,,841,1186-1213
Walter Wille,"Alan, brother of Raymond",Directed,witnesses,Walter,Alan,Witness,Recipient,,841,1186-1213
Ralph Wille,"Alan, brother of Raymond",Directed,witnesses,Radulfo,Alan,Witness,Recipient,,841,1186-1213
Jordan Wille,"Alan, brother of Raymond",Directed,witnesses,Jordan,Alan,Witness,Recipient,,841,1186-1213
Raher,"Alan, brother of Raymond",Directed,witnesses,Raerio,Alan,Witness,Recipient,,841,1186-1213
"William, a child","Alan, brother of Raymond",Directed,witnesses,Willelm,Alan,Witness,Recipient,,841,1186-1213
William of Almonry,"Alan, brother of Raymond",Directed,witnesses,Willelm,Alan,Witness,Recipient,,841,1186-1213
"Alan, brother of Raymond",Christina,Directed,gives to,Alan,Christina,Grantor,Recipient,merchant (mercatore),841,1186-1213
"""H"", Abbot of Reading","Nicholas, son of Henry the goldsmith",Directed,leases to,"Abbot ""H""",Nicholas,Grantor,Recipient,Abbot,842,1186-1213
"Godard, the clerk","""H"", Abbot of Reading",Directed,witnesses,Gautero,"Abbot ""H""",Witness,Grantor,Cleric/Priest,842,1186-1213
"Reginald, the steward","""H"", Abbot of Reading",Directed,witnesses,Reginald,"Abbot ""H""",Witness,Grantor,Senschal,842,1186-1213
William Chamberlain,"""H"", Abbot of Reading",Directed,witnesses,Willelm,"Abbot ""H""",Witness,Grantor,Chamberlin (camberlano),842,1186-1213
Osmund of Oakley,"""H"", Abbot of Reading",Directed,witnesses,Osmundo de Acleia,"Abbot ""H""",Witness,Grantor,,842,1186-1213
"William, the butler","""H"", Abbot of Reading",Directed,witnesses,Willelm,"Abbot ""H""",Witness,Grantor,Cup-bearer (pincerna),842,1186-1213
"Raymond, the merchant","""H"", Abbot of Reading",Directed,witnesses,Remundo,"Abbot ""H""",Witness,Grantor,,842,1186-1213
"Alan, brother of Raymond","""H"", Abbot of Reading",Directed,witnesses,Alan,"Abbot ""H""",Witness,Grantor,,842,1186-1213
Gilbert super Pontem,"""H"", Abbot of Reading",Directed,witnesses,Gilbert super pontem,"Abbot ""H""",Witness,Grantor,,842,1186-1213
"Gilbert, son of Gilbert super Pontem","""H"", Abbot of Reading",Directed,witnesses,"Gilbert, Gilbert's son","Abbot ""H""",Witness,Grantor,,842,1186-1213
Walter of Stokes,"""H"", Abbot of Reading",Directed,witnesses,Walter of Stokes,"Abbot ""H""",Witness,Grantor,,842,1186-1213
"Godard, the clerk","Nicholas, son of Henry the goldsmith",Directed,witnesses,Gautero,Nicholas,Witness,Recipient,Cleric/Priest,842,1186-1213
"Reginald, the steward","Nicholas, son of Henry the goldsmith",Directed,witnesses,Reginald,Nicholas,Witness,Recipient,Senschal,842,1186-1213
William Chamberlain,"Nicholas, son of Henry the goldsmith",Directed,witnesses,Willelm,Nicholas,Witness,Recipient,Chamberlin (camberlano),842,1186-1213
Osmund of Oakley,"Nicholas, son of Henry the goldsmith",Directed,witnesses,Osmundo de Acleia,Nicholas,Witness,Recipient,,842,1186-1213
"William, the butler","Nicholas, son of Henry the goldsmith",Directed,witnesses,Willelm,Nicholas,Witness,Recipient,Cup-bearer (pincerna),842,1186-1213
"Raymond, the merchant","Nicholas, son of Henry the goldsmith",Directed,witnesses,Remundo,Nicholas,Witness,Recipient,,842,1186-1213
"Alan, brother of Raymond","Nicholas, son of Henry the goldsmith",Directed,witnesses,Alan,Nicholas,Witness,Recipient,,842,1186-1213
Gilbert super Pontem,"Nicholas, son of Henry the goldsmith",Directed,witnesses,Gilbert super pontem,Nicholas,Witness,Recipient,,842,1186-1213
"Gilbert, son of Gilbert super Pontem","Nicholas, son of Henry the goldsmith",Directed,witnesses,"Gilbert, Gilbert's son",Nicholas,Witness,Recipient,,842,1186-1213
Walter of Stokes,"Nicholas, son of Henry the goldsmith",Directed,witnesses,Walter of Stokes,Nicholas,Witness,Recipient,,842,1186-1213
"""H"", Abbot of Reading",William Chamberlain,Directed,gives to,"Abbot ""H""",William Chamberlain,Grantor,Recipient,Abbot,843,1186-1213
William of Waltham,"""H"", Abbot of Reading",Directed,witnesses,Willelm de Waltham,"Abbot ""H""",Witness,Grantor,,843,1186-1213
"Ernald, the marshal","""H"", Abbot of Reading",Directed,witnesses,Ernaldo the marshal,"Abbot ""H""",Witness,Grantor,Marshal (marescallo),843,1186-1213
Raher,"""H"", Abbot of Reading",Directed,witnesses,Rahero,"Abbot ""H""",Witness,Grantor,,843,1186-1213
"William, the butler","""H"", Abbot of Reading",Directed,witnesses,Willelm,"Abbot ""H""",Witness,Grantor,Cup-bearer (pincerna),843,1186-1213
"William, the steward","""H"", Abbot of Reading",Directed,witnesses,Willelm,"Abbot ""H""",Witness,Grantor,Manager (dispensator),843,1186-1213
Roger of Waltham,"""H"", Abbot of Reading",Directed,witnesses,Roger de Waltham,"Abbot ""H""",Witness,Grantor,,843,1186-1213
"Lambert, the cook","""H"", Abbot of Reading",Directed,witnesses,Lambert,"Abbot ""H""",Witness,Grantor,cook,843,1186-1213
"Achelmann, the cook","""H"", Abbot of Reading",Directed,witnesses,Achelmann,"Abbot ""H""",Witness,Grantor,cook,843,1186-1213
"Raymond, the merchant","""H"", Abbot of Reading",Directed,witnesses,Ramundo,"Abbot ""H""",Witness,Grantor,Merchant (mercatore),843,1186-1213
"Alan, brother of Raymond","""H"", Abbot of Reading",Directed,witnesses,Alan,"Abbot ""H""",Witness,Grantor,,843,1186-1213
Walter of Oxford,"""H"", Abbot of Reading",Directed,witnesses,Walter de Oxonia,"Abbot ""H""",Witness,Grantor,,843,1186-1213
"Walter, son-in-law of Walter of Oxford","""H"", Abbot of Reading",Directed,witnesses,Walter,"Abbot ""H""",Witness,Grantor,,843,1186-1213
Gilbert super Pontem,"""H"", Abbot of Reading",Directed,witnesses,Gilbert super pontem,"Abbot ""H""",Witness,Grantor,,843,1186-1213
"Geoffrey, the clerk","""H"", Abbot of Reading",Directed,witnesses,Galfrido,"Abbot ""H""",Witness,Grantor,Clerk (clerico),843,1186-1213
"Turgis, Geoffrey's son-in-law","""H"", Abbot of Reading",Directed,witnesses,Turgis,"Abbot ""H""",Witness,Grantor,,843,1186-1213
Edward Gentil,"""H"", Abbot of Reading",Directed,witnesses,Edward Gentil,"Abbot ""H""",Witness,Grantor,,843,1186-1213
Ralph Wille,"""H"", Abbot of Reading",Directed,witnesses,Radulfo Wille,"Abbot ""H""",Witness,Grantor,,843,1186-1213
"Simon, the stable-keeper","""H"", Abbot of Reading",Directed,witnesses,Simon,"Abbot ""H""",Witness,Grantor,Stable-keeper (stabulario),843,1186-1213
Walter Peg,"""H"", Abbot of Reading",Directed,witnesses,Walter Peg',"Abbot ""H""",Witness,Grantor,,843,1186-1213
William of Waltham,William Chamberlain,Directed,witnesses,Willelm de Waltham,William Chamberlain,Witness,Recipient,,843,1186-1213
"Ernald, the marshal",William Chamberlain,Directed,witnesses,Ernaldo the marshal,William Chamberlain,Witness,Recipient,Marshal (marescallo),843,1186-1213
Raher,William Chamberlain,Directed,witnesses,Rahero,William Chamberlain,Witness,Recipient,,843,1186-1213
"William, the butler",William Chamberlain,Directed,witnesses,Willelm,William Chamberlain,Witness,Recipient,Cup-bearer (pincerna),843,1186-1213
"William, the steward",William Chamberlain,Directed,witnesses,Willelm,William Chamberlain,Witness,Recipient,Manager (dispensator),843,1186-1213
Roger of Waltham,William Chamberlain,Directed,witnesses,Roger de Waltham,William Chamberlain,Witness,Recipient,,843,1186-1213
"Lambert, the cook",William Chamberlain,Directed,witnesses,Lambert,William Chamberlain,Witness,Recipient,cook,843,1186-1213
"Achelmann, the cook",William Chamberlain,Directed,witnesses,Achelmann,William Chamberlain,Witness,Recipient,cook,843,1186-1213
"Raymond, the merchant",William Chamberlain,Directed,witnesses,Ramundo,William Chamberlain,Witness,Recipient,Merchant (mercatore),843,1186-1213
"Alan, brother of Raymond",William Chamberlain,Directed,witnesses,Alan,William Chamberlain,Witness,Recipient,,843,1186-1213
Walter of Oxford,William Chamberlain,Directed,witnesses,Walter de Oxonia,William Chamberlain,Witness,Recipient,,843,1186-1213
"Walter, son-in-law of Walter of Oxford",William Chamberlain,Directed,witnesses,Walter,William Chamberlain,Witness,Recipient,,843,1186-1213
Gilbert super Pontem,William Chamberlain,Directed,witnesses,Gilbert super pontem,William Chamberlain,Witness,Recipient,,843,1186-1213
"Geoffrey, the clerk",William Chamberlain,Directed,witnesses,Galfrido,William Chamberlain,Witness,Recipient,Clerk (clerico),843,1186-1213
"Turgis, Geoffrey's son-in-law",William Chamberlain,Directed,witnesses,Turgis,William Chamberlain,Witness,Recipient,,843,1186-1213
Edward Gentil,William Chamberlain,Directed,witnesses,Edward Gentil,William Chamberlain,Witness,Recipient,,843,1186-1213
Ralph Wille,William Chamberlain,Directed,witnesses,Radulfo Wille,William Chamberlain,Witness,Recipient,,843,1186-1213
"Simon, the stable-keeper",William Chamberlain,Directed,witnesses,Simon,William Chamberlain,Witness,Recipient,Stable-keeper (stabulario),843,1186-1213
Walter Peg,William Chamberlain,Directed,witnesses,Walter Peg',William Chamberlain,Witness,Recipient,,843,1186-1213
"""H"", Abbot of Reading",William Chamberlain,Directed,leases to,"Abbot ""H""",William Chamberlain,Grantor,Recipient,Abbot,844,1186-1213
"Godard, the clerk","""H"", Abbot of Reading",Directed,witnesses,Gautero,"Abbot ""H""",Witness,Grantor,Clerk (clerico),844,1186-1213
"Reginald, the chamberlain","""H"", Abbot of Reading",Directed,witnesses,Reginald,"Abbot ""H""",Witness,Grantor,Chamberlain (camberlano),844,1186-1213
"William, the butler","""H"", Abbot of Reading",Directed,witnesses,Willelm,"Abbot ""H""",Witness,Grantor,Cup-bearer (pincerna),844,1186-1213
"Lambert, the cook","""H"", Abbot of Reading",Directed,witnesses,Lambert,"Abbot ""H""",Witness,Grantor,Cook,844,1186-1213
Archenbald,"""H"", Abbot of Reading",Directed,witnesses,Archenbaudo,"Abbot ""H""",Witness,Grantor,,844,1186-1213
